date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-10-15,sh.600000,9.5400,9.7200,9.5300,9.6200,9.5300,66146732,637856656.3500,3,0.225400,1,0.944400,5.063980,1.451791,2.136639,0.562266,0
2020-10-16,sh.600000,9.6100,9.7700,9.6000,9.7200,9.6200,74850236,726361115.9100,3,0.255000,1,1.039500,5.116620,1.466882,2.158849,0.568110,0
2020-10-19,sh.600000,9.7300,9.9300,9.6400,9.6500,9.7200,84532385,826077895.1900,3,0.288000,1,-0.720200,5.079772,1.456318,2.143302,0.564019,0
2020-10-20,sh.600000,9.6300,9.6500,9.5100,9.5800,9.6500,46687029,446894604.2400,3,0.159100,1,-0.725400,5.042924,1.445754,2.127755,0.559928,0
2020-10-21,sh.600000,9.5800,9.7000,9.5100,9.7000,9.5800,61622129,592503578.5200,3,0.209900,1,1.252600,5.106092,1.463864,2.154407,0.566941,0
2020-10-22,sh.600000,9.6700,9.7600,9.5900,9.6500,9.7000,47288884,456765638.5400,3,0.161100,1,-0.515500,5.079772,1.456318,2.143302,0.564019,0
2020-10-23,sh.600000,9.6300,9.7900,9.6200,9.7000,9.6500,70954476,689493436.8500,3,0.241700,1,0.518100,5.106092,1.463864,2.154407,0.566941,0
2020-10-26,sh.600000,9.7200,9.7500,9.5900,9.6000,9.7000,52711443,508770627.5400,3,0.179600,1,-1.030900,5.053452,1.448773,2.132197,0.561097,0
2020-10-27,sh.600000,9.5900,9.5900,9.4800,9.4800,9.6000,38062780,362632658.5400,3,0.129700,1,-1.250000,4.990284,1.430663,2.105544,0.554083,0
2020-10-28,sh.600000,9.4800,9.5200,9.3800,9.4000,9.4800,45881367,432093181.1100,3,0.156300,1,-0.843900,4.948172,1.418590,2.087776,0.549407,0
2020-10-29,sh.600000,9.3500,9.4500,9.3400,9.3700,9.4000,43707348,409990836.3800,3,0.148900,1,-0.319100,4.932380,1.414062,2.081113,0.547654,0
2020-10-30,sh.600000,9.3800,9.4500,9.2500,9.2600,9.3700,56060864,523487861.4900,3,0.191000,1,-1.174000,4.874476,1.397462,2.056682,0.541224,0
2020-11-02,sh.600000,9.2800,9.3300,9.2200,9.2500,9.2600,46542251,431202859.4800,3,0.158600,1,-0.108000,4.909449,1.406533,3.310539,0.532103,0
2020-11-03,sh.600000,9.3100,9.4000,9.2800,9.3000,9.2500,67876111,632973896.6100,3,0.231200,1,0.540500,4.935986,1.414136,3.328434,0.534979,0
2020-11-04,sh.600000,9.3500,9.4000,9.2800,9.3400,9.3000,50256088,469008802.5000,3,0.171200,1,0.430100,4.957216,1.420218,3.342750,0.537280,0
